nombre,Cedula,codigoRuta,nombreRuta,codigoRamal,nombreRamal,mes,anho,carreras,Origen
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0550,SAN JOSE-VENECIA-SAN MIGUEL,6,2025,30.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0550,SAN JOSE-VENECIA-SAN MIGUEL,7,2025,31.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0550,SAN JOSE-VENECIA-SAN MIGUEL,8,2024,31.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0550,SAN JOSE-VENECIA-SAN MIGUEL,8,2025,31.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0550,SAN JOSE-VENECIA-SAN MIGUEL,9,2024,30.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0550,SAN JOSE-VENECIA-SAN MIGUEL,9,2025,30.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0550,SAN JOSE-VENECIA-SAN MIGUEL,10,2024,31.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0550,SAN JOSE-VENECIA-SAN MIGUEL,11,2024,30.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0550,SAN JOSE-VENECIA-SAN MIGUEL,12,2024,31.0,SIR
A.T.Z. ALFARO RUIZ S.A.,3-101-554030,214,SAN JOSE-ZARCERO-LAGUNA DE ALFARO RUIZ,R0555,SAN JOSE-LOS CHILES-FRONTERA NORTE (TABILLAS),1,2025,62.0,SIR
